Topic,Count,Name,Representation,Representative_Docs
-1,1076,-1_the_de_to_and,"['the', 'de', 'to', 'and', 'in', 'is', 'que', 'of', 'this', 'you']","['the main reason my life is so fun is that i simply ignored all the women who tried to ruin it they talk about love and romance and relationships and bullshit they just try and make your life suck giving a woman what she thinks she wants makes you as a man miserable no one', 'i m with the tesla terrorists so we re not going to do anything about this and hope more people follow in this freak s footsteps there fixed it for you', 'this karen sat across from me on the train to baltimore yesterday then she took one look at my sweatshirt and said please don t tell me you voted for trump me why not he was hands down the best choice her are you serious he s having schools and businesses']"
0,726,0_ہے_کے_کی_کو,"['ہے', 'کے', 'کی', 'کو', 'میں', 'پاکستان', 'اور', 'سے', 'کا', 'پر']","['یہ نہ تو ہے نہ یہ ہے پاکستان کا نام ہی پاک ہے ہم دو کروڑ سکھ پاکستان کے ساتھ کھڑے ہیں ہم انڈین آرمی کو پنجاب سے گزر کر پاکستان پر حملہ نہیں کرنے دیں گے گرپتونت سنگھ پنوں', 'یہ نہ تو ہے نہ یہ ہے پاکستان کا نام ہی پاک ہے ہم دو کروڑ سکھ پاکستان کے ساتھ کھڑے ہیں ہم انڈین آرمی کو پنجاب سے گزر کر پاکستان پر حملہ نہیں کرنے دیں گے گرپتونت سنگھ', 'خالصتان تحریک کے لیڈر گرپتونت سنگھ پنوں نے کہا ہے یہ نہ تو ہے نہ یہ ہے ہم بھارتی فوج کو پنجاب سے گزر کر پاکستان پر حملہ نہیں کرنے دیں گے پاکستان کا نام ہی پاک ہے ہم کروڑ سکھ پاکستان کے ساتھ کھڑے ہیں اور ساتھ ہی پاکستان زندہ باد اور خالصتان زندہ باد کا نعرہ لگایا']"
1,171,1_illegal_to_the_judges,"['illegal', 'to', 'the', 'judges', 'judge', 'is', 'and', 'of', 'aliens', 'are']","['breaking standards are being set america another judge has been arrested by the fbi in wisconsin milwaukee county circuit judge hannah dugan is accused of obstructing the deportation of illegal aliens thoughts on this america', 'breaking the fbi has arrested another judge this one is hannah dugan out of milwaukee wisconsin she is accused of obstructing the deportation of illegal aliens this is what we needed to see', 'nobody should be surprised by the arrest of two judges i have said many times within the past few months that people can choose to support illegal immigration and not assist ice in removing criminal illegal aliens from our communities but don t cross that line if you']"
2,140,2_israel_gaza_the_israeli,"['israel', 'gaza', 'the', 'israeli', 'of', 'to', 'in', 'and', 'is', 'jewish']","['this is why israel has to destroy so many buildings inside the gaza strip hamas terrorists were firing rpgs from inside homes wearing civilian clothes like the cowards they are and boobytrapping the houses gaza is a shithole that must be flattened', 'vivek ramaswamy if israel wants to destroy hamas israel should go ahead and destroy hamas if israel wants to at long last abandon the myth of a solution israel should go ahead and abandon the solution correct', 'israeli pilot says the air force was being used to do assassinations long before oct and that israel is committing genocide in gaza right now']"
3,133,3_amk_bak_ne_adam,"['amk', 'bak', 'ne', 'adam', 'ya', 'sikeyim', 'aq', 'mi', 'vocês', 'sen']","['arda gülere bak okula mı gidiyon amk ya sıçıyom', 'celal böyle fay incelemiş mi acaba aq adam fayla muhabbet ediyor amk', 'tayyipten sonra en kötü adam mı bu amk icraatlere bak']"
4,97,4_muslim_islam_in_is,"['muslim', 'islam', 'in', 'is', 'the', 'islamic', 'muslims', 'and', 'europe', 'to']","['geert wilders we must immediately stop immigrants from islamic countries from entering the country go to an islamic country you can enjoy the rules of islam there', 'this is a map of the largest religion in every state the green is islam islam is highly urbanized in the united states islam is the fastest growing religion in the world and predicted by be the majority sharia law is right around the corner in america', 'watch muslims say they hate the west and want to destroy it by imposing islam s laws and enslaving the people who refuse to convert islam is an obstacle to world peace share if you will never bow down to islam']"
5,73,5_water_پانی_indus_pakistan,"['water', 'پانی', 'indus', 'pakistan', 'flow', 'india', 'بھارت', 'کی', 'کا', 'treaty']","['اگر کسی نے پانی کے بہاؤ کو روکنے کم کرنے یا اس کا رخ موڑنے کی کوشش کی تو پاکستان اس کا بھرپور جواب دے گا کیونکہ یہ طاس معاہدے کی خلاف ورزی ہوگی پاکستان اپنی سرزمین کی عزت و حفاظت کے لیے مکمل طور پر تیار ہے ـ اور اگر بھارت نے کوئی مہم جوئی کی تو اسے ویسا ہی جواب ملے گا جیسا', 'former pakistan foreign minister bilawal bhutto gives a message to india indus river is ours and it will remain ours either our water will flow there or indian blood will flow', 'اگر کسی نے پانی کے بہاؤ کو روکنے کم کرنے یا اس کا رخ موڑنے کی کوشش کی تو پاکستان اس کا بھرپور جواب دے گا کیونکہ یہ طاس معاہدے کی خلاف ورزی ہوگی پاکستان اپنی سرزمین کی عزت و حفاظت کے لیے مکمل طور پر تیار ہے ـ اور اگر بھارت نے کوئی مہم جوئی کی تو اسے ویسا ہی جواب ملے گا']"
6,70,6_white_people_black_woman,"['white', 'people', 'black', 'woman', 'inferior', 'food', 'culture', 'are', 'to', 'she']","['a black woman decided to throw food over a white woman because white people are inferior watch until the end', 'a black woman was arrested after throwing food over a white woman in the uk her reason white people are inferior', 'a black woman throws food over a white woman because white people are inferior but she found out and got arrested']"
7,70,7_türk_ve_ermeni_bir,"['türk', 've', 'ermeni', 'bir', 'bu', 'ermeniler', 'türkler', 'erdoğan', 'pkk', 'için']","['eski abd başkanı reagan ın hukuk danışmanı bruce fein asıl katliamı anadolu da milyon insanı katleden ermeni çeteler yaptı türkler arşivlerini açtı ermeniler reddetti ermeniler tüm dünyadan ama özellikle de türklerden özür dilemek zorunda kalır', 'eski abd başkanı hukuk danışmanı bruce fein asıl katliamı milyon insanı katleden ermeni çeteler yaptı türkler arşivlerini açtı ermeniler reddetti ermeniler tüm dünyadan ama özellikle de türklerden özür dilemek zorunda kalır', 'eski abd başkanı hukuk danışmanı bruce fein asıl katliamı milyon insanı katleden ermeni çeteler yaptı türkler arşivlerini açtı ermeniler reddetti ermeniler tüm dünyadan ama özellikle de türklerden özür dilemek zorunda kalır']"
8,66,8_bolsonaro_moraes_de_alexandre,"['bolsonaro', 'moraes', 'de', 'alexandre', 'que', 'do', 'uti', 'jair', 'não', 'para']","['o deputado europeu da polônia protocolou um projeto no parlamento europeu pedindo sanções contra o ministro alexandre de moraes a iniciativa veio após moraes enviar uma oficial de justiça para intimar bolsonaro enquanto ele está internado na uti a ditadura', 'deputado do parlamento europeu propõe sanção a moraes hora de agir após bolsonaro ser intimado na uti deputado do parlamento europeu disse que alexandre de moraes quer destruir a oposição e usa métodos comunistas', 'deputado do parlamento europeu propõe sanção a moraes hora de agir após bolsonaro ser intimado na uti deputado do parlamento europeu disse que moraes stf quer destruir a oposição e usa métodos comunistas']"
