Topic 0: ہے, کے, کی, کو, میں, پاکستان, اور, سے, کا, پر
Topic 1: illegal, to, the, judges, judge, is, and, of, aliens, are
Topic 2: israel, gaza, the, israeli, of, to, in, and, is, jewish
Topic 3: amk, bak, ne, adam, ya, sikeyim, aq, mi, vocês, sen
Topic 4: muslim, islam, in, is, the, islamic, muslims, and, europe, to
Topic 5: water, پانی, indus, pakistan, flow, india, بھارت, کی, کا, treaty
Topic 6: white, people, black, woman, inferior, food, culture, are, to, she
Topic 7: türk, ve, ermeni, bir, bu, ermeniler, türkler, erdoğan, pkk, için
Topic 8: bolsonaro, moraes, de, alexandre, que, do, uti, jair, não, para
Topic 9: lula, inss, do, governo, de, que, irmão, corrupção, aposentados, mais
Topic 10: brasil, do, de, que, lula, um, no, uma, na, parar
Topic 11: अब, समय, और, जब, कर, इन, आज, पर, कल, तब
Topic 12: कर, इस, गए, यह, मत, तरह, नर, सर, इन, कह
Topic 13: bir, ve, gibi, yakışıyor, bu, siz, ne, aile, baba, ya
Topic 14: pope, francis, the, funeral, church, papa, vatican, of, le, as
Topic 15: ukraine, russia, ukrainian, russian, the, putin, and, ukrainians, about, of
Topic 16: جنگ, guerre, allahu, ve, war, ekber, une, ça, savaşı, sera
Topic 17: हम, घर, कर, गई, जय, अब, उस, headed, शरण, coming
Topic 18: bakalım, sık, polis, ankara, da, polislere, chp, bu, bir, polisi
Topic 19: और, एक, पर, तक, इस, कर, आप, यह, बच, हक
Topic 20: vaccines, covid, dr, experimental, and, the, rfk, to, jr, autism
Topic 21: gören, yazsın, yoruma, herkes, gündemini, dünya, bugün, sallayacağız, tweeti, bu
Topic 22: chega, trans, de, more, women, mulheres, men, eua, woke, gay
Topic 23: keskin, video, kassam, nişancı, yeni, tugayları, yayınladı, of, enemy, rifle
Topic 24: climate, jones, alex, fake, the, chemicals, chemtrails, about, jd, nick
Topic 25: deprem, yapsak, yeniden, gürses, keşke, özlem, olsa, bir, evvel, büyük
Topic 26: the, hillary, obama, clinton, was, deep, bombshell, state, to, classified
Topic 27: kkkkkkkk, kkkkkkkkkkk, kkkkkkkkk, pqp, renata, deve, gente, aqui, eu, vai
Topic 28: kadının, mulher, sorusuna, kimlikte, yazan, verdiği, röportajında, ismi, yanıt, sokak
Topic 29: ali, تصور, bir, bu, fenerbahçe, faço, bile, galatasaray, kötü, her
Topic 30: schools, school, students, oklahoma, federal, education, بک, vickie, andra, comply
Topic 31: picture, veteran, brandon, president, joe, go, biden, başkan, trump, başkanlığı
Topic 32: europe, europeans, pays, nato, they, as, invasion, yet, talk, countries
Topic 33: thi, blah, tum, en, june, sens, gaon, ho, issam, huma
Topic 34: quem, vota, que, não, se, ele, suça, gideceği, kodes, bulaştı
Topic 35: çocukları, çocuğu, musa, çocuğunu, öldürseniz, سؤر, sağ, mi, kalacak, elbet
Topic 36: irish, ireland, streets, protest, dublin, expected, mass, the, racist, immigration
Topic 37: हर, सब, पर, ahp, annihilate, bsdk, फट, दल, writes, lindas
Topic 38: texas, cornyn, islamic, john, cair, praised, city, relief, plano, senator
Topic 39: ji, what, ayrı, they, minister, terrorists, be, anymore, örgütü, terör
